,,Sig Corr,815.279578,864.6719276,844.5639985,883.5463164,846.9200922,818.8295918,843.5363729,778.7820248,787.796654,821.6398898,806.3272264,795.9453293,812.8977191,820.6364068,850.4515539,789.6060434,827.5970381,800.0585589,817.700381,836.6163347,860.986664,811.9249108,816.4473294,862.4381941,835.6094628,814.252882,800.3799648,859.518086,811.327088,842.8161401,838.189002,833.0308825,849.9894252,852.1632273,856.9108783,843.9908054,982.0050679,977.9870794,978.599969,975.8806854,980.3706302,971.7836068,970.6094671,973.8129122,970.7790173,970.3623522,974.8094628,975.7383392,978.3046241,973.0880236,977.1297032,978.2747862,975.9349327,977.7446965,978.4550128,975.5162875,984.7479246,983.7279811,985.3093284,983.9175855,981.1793877,979.0310999,981.0125533,978.2854615,977.6911439,978.3311059,980.7429258,981.753688,981.0848584,978.7920199,979.7840781,980.885094,981.2496165,980.2994209,980.3930892,982.2173675,977.1172193,980.263984,977.7814384,980.3723309,978.0244817,978.9261689,978.3435506,978.9973806,979.0708673,978.1118295,977.8028341,980.1687124,980.0243535,980.617906,979.0007384,977.7811581,979.0485012,977.702269,977.7677434,980.8627247,963.9936481,963.7813356,972.8125927,966.4414942,963.8416831,971.8078439,964.95815,963.3135804,969.2963757,964.2432767,976.2847028,963.3466012,966.9738353,970.2556864,965.7099874,968.1411097,969.2883061,968.298607,968.2147284,962.5957387
Lipid variable,Category,m/z,422719_Plasma_Normal_Neg_01,422719_Plasma_Normal_Neg_12,422719_Plasma_Normal_Neg_03,422719_Plasma_Normal_Neg_04,422719_Plasma_Normal_Neg_05,422719_Plasma_AA_Neg_42,422719_Plasma_AA_Neg_17,422719_Plasma_AA_Neg_18,422719_Plasma_AA_Neg_19,422719_Plasma_AA_Neg_20,422719_Plasma_EPA_Neg_06,422719_Plasma_EPA_Neg_07,422719_Plasma_EPA_Neg_27,422719_Plasma_EPA_Neg_26,422719_Plasma_EPA_Neg_10,422719_Plasma_DHA_Neg_11,422719_Plasma_DHA_Neg_12,422719_Plasma_DHA_Neg_13,422719_Plasma_DHA_Neg_14,422719_Plasma_DHA_Neg_15,422701_Liver_normal_Neg_01,422701_Liver_normal_Neg_12,422701_Liver_normal_Neg_04,422701_Liver_normal_Neg_05,422701_Liver_AA_Neg_42,422701_Liver_AA_Neg_17,422701_Liver_AA_Neg_19,422701_Liver_AA_Neg_20,422701_Liver_EPA_Neg_06,422701_Liver_EPA_Neg_07,422701_Liver_EPA_Neg_26,422701_Liver_EPA_Neg_10,422701_Liver_DHA_Neg_11,422701_Liver_DHA_Neg_12,422701_Liver_DHA_Neg_14,422701_Liver_DHA_Neg_15,422612_Adipose_Control_Neg_01,422612_Adipose_Control_Neg_12,422612_Adipose_Control_Neg_03,422612_Adipose_Control_Neg_04,422612_Adipose_Control_Neg_05,422612_Adipose_AA_Neg_42,422612_Adipose_AA_Neg_17,422612_Adipose_AA_Neg_18,422612_Adipose_AA_Neg_19,422612_Adipose_AA_Neg_20,422612_Adipose_EPA_Neg_06,422612_Adipose_EPA_Neg_07,422612_Adipose_EPA_Neg_27,422612_Adipose_EPA_Neg_26,422612_Adipose_EPA_Neg_10,422612_Adipose_DHA_Neg_11,422612_Adipose_DHA_Neg_12,422612_Adipose_DHA_Neg_13,422612_Adipose_DHA_Neg_14,422612_Adipose_DHA_Neg_15,422719_Plasma_Normal_GCMS_01,422719_Plasma_Normal_GCMS_12,422719_Plasma_Normal_GCMS_03,422719_Plasma_Normal_GCMS_04,422719_Plasma_Normal_GCMS_05,422719_Plasma_AA_GCMS_42,422719_Plasma_AA_GCMS_17,422719_Plasma_AA_GCMS_18,422719_Plasma_AA_GCMS_19,422719_Plasma_AA_GCMS_20,422719_Plasma_EPA_GCMS_06,422719_Plasma_EPA_GCMS_07,422719_Plasma_EPA_GCMS_27,422719_Plasma_EPA_GCMS_26,422719_Plasma_EPA_GCMS_10,422719_Plasma_DHA_GCMS_11,422719_Plasma_DHA_GCMS_12,422719_Plasma_DHA_GCMS_13,422719_Plasma_DHA_GCMS_14,422719_Plasma_DHA_GCMS_15,420720_brain_normal_01_GCMS,420720_brain_normal_02_GCMS,420720_brain_normal_03_GCMS,420720_brain_normal_04_GCMS,420720_brain_normal_05_GCMS,420720_brain_AA_42_GCMS,420720_brain_AA_17_GCMS,420720_brain_AA_18_GCMS,420720_brain_AA_19_GCMS,420720_brain_AA_20_GCMS,420720_brain_EPA_06_GCMS,420720_brain_EPA_07_GCMS,420720_brain_EPA_27_GCMS,420720_brain_EPA_09_GCMS,420720_brain_EPA_10_GCMS,420720_brain_DHA_11_GCMS,420720_brain_DHA_12_GCMS,420720_brain_DHA_13_GCMS,420720_brain_DHA_14_GCMS,420720_brain_DHA_15_GCMS,420902_Heart_Control_GCMS_01,420902_Heart_Control_GCMS_02,420902_Heart_Control_GCMS_03,420902_Heart_Control_GCMS_04,420902_Heart_Control_GCMS_05,420902_Heart_AA_GCMS_42,420902_Heart_AA_GCMS_17,420902_Heart_AA_GCMS_18,420902_Heart_AA_GCMS_19,420902_Heart_AA_GCMS_20,420902_Heart_EPA_GCMS_06,420902_Heart_EPA_GCMS_07,420902_Heart_EPA_GCMS_27,420902_Heart_EPA_GCMS_09,420902_Heart_EPA_GCMS_10,420902_Heart_DHA_GCMS_11,420902_Heart_DHA_GCMS_12,420902_Heart_DHA_GCMS_13,420902_Heart_DHA_GCMS_14,420902_Heart_DHA_GCMS_15
ACarX(08:00),ACarX,C15H30NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(12:00),ACarX,C19H38NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(14:00),ACarX,C21H42NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(14:01),ACarX,C21H40NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(16:00),ACarX,C23H46NO4,0.594789636,0.504822871,0,0,0,0.574181328,0,0.517679831,0,0.517361874,0,0.75935791,0.623741791,0.560726374,0.544030545,0.712127846,0,0,0.607771958,0,0,0,0,0,0,0,0,0,0,0.567804465,0,0.590418878,0,0,0.635236464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(16:01)a,ACarX,C23H44NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(16:01)b,ACarX,C23H44NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(16:02),ACarX,C23H42NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(16:03),ACarX,C23H40NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(18:00),ACarX,C25H50NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(18:01)a,ACarX,C25H48NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.982955207,0,0,0,0,0,0,0,0,0,0,0.502544154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(18:01)b,ACarX,C25H48NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACarX(18:02),ACarX,C25H46NO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
